column,dtype,non_null_n,non_null_fraction,description,example_value
ML_BKG_P3,float64,5865,1.0,,0.18457247
ML_EXP_P3,float64,5865,1.0,,95.70395
ML_EEF_P3,float64,5865,1.0,,0.8836025
APE_CTS_P3,int64,5865,1.0,,124
APE_BKG_P3,float64,5865,1.0,,0.15916535
APE_EXP_P3,float64,5865,1.0,,95.70252
APE_RADIUS_P3,float64,5865,1.0,,7.796756
APE_POIS_P3,float64,5764,0.982779,,0.0
DET_LIKE_P4,float64,5858,0.998806,,81.30313
ML_CTS_P4,float64,5865,1.0,,22.80319
ML_CTS_P4_ERR,float64,5865,1.0,,5.120866
ML_CTS_P4_ASYM_ERR,object,5865,1.0,,[-4.7227387  5.518993 ]
ML_RATE_P4,float64,5865,1.0,,0.30529407
ML_RATE_P4_ERR,float64,5865,1.0,,0.06855927
ML_RATE_P4_ASYM_ERR,object,5865,1.0,,[-0.06322905  0.07388948]
ML_FLUX_P4,float64,5865,1.0,,1.8927095e-12
ML_FLUX_P4_ERR,float64,5865,1.0,,4.2504195e-13
ML_FLUX_P4_ASYM_ERR,object,5865,1.0,,[-3.919966e-13  4.580873e-13]
ML_BKG_P4,float64,5865,1.0,,0.22381589
ML_EXP_P4,float64,5865,1.0,,74.69254
ML_EEF_P4,float64,5865,1.0,,0.85624605
APE_CTS_P4,int64,5865,1.0,,19
APE_BKG_P4,float64,5865,1.0,,0.30633795
APE_EXP_P4,float64,5865,1.0,,74.683426
APE_RADIUS_P4,float64,5865,1.0,,9.933478
APE_POIS_P4,float64,4658,0.794203,,1.0626176e-27
DET_LIKE_P5,float64,5847,0.996931,,1.0424237
ML_CTS_P5,float64,5865,1.0,,1.0004692
ML_CTS_P5_ERR,float64,5865,1.0,,1.1341697
ML_CTS_P5_ASYM_ERR,object,5865,1.0,,[-0.8295558  1.4387836]
ML_RATE_P5,float64,5865,1.0,,0.021081537
ML_RATE_P5_ERR,float64,5865,1.0,,0.023898827
ML_RATE_P5_ASYM_ERR,object,5865,1.0,,[-0.01748011  0.03031754]
ML_FLUX_P5,float64,5865,1.0,,7.5942133e-13
ML_FLUX_P5_ERR,float64,5865,1.0,,8.6090873e-13
ML_FLUX_P5_ASYM_ERR,object,5865,1.0,,[-6.2968690e-13  1.0921305e-12]
ML_BKG_P5,float64,5865,1.0,,0.2027417
ML_EXP_P5,float64,5865,1.0,,47.45713
ML_EEF_P5,float64,5865,1.0,,0.73298055
APE_CTS_P5,int64,5865,1.0,,1
APE_BKG_P5,float64,5865,1.0,,0.5062209
APE_EXP_P5,float64,5865,1.0,,47.441254
APE_RADIUS_P5,float64,5865,1.0,,13.367275
APE_POIS_P5,float64,3522,0.600512,,0.3972308
DET_LIKE_P6,float64,5861,0.999318,,8.637425
ML_CTS_P6,float64,5865,1.0,,4.5034018
ML_CTS_P6_ERR,float64,5865,1.0,,2.4472196
ML_CTS_P6_ASYM_ERR,object,5865,1.0,,[-1.9931079  2.9013317]
ML_RATE_P6,float64,5865,1.0,,0.08928983
ML_RATE_P6_ERR,float64,5865,1.0,,0.048521504
ML_RATE_P6_ASYM_ERR,object,5865,1.0,,[-0.03951774  0.05752527]
ML_FLUX_P6,float64,5865,1.0,,2.6813762e-12
ML_FLUX_P6_ERR,float64,5865,1.0,,1.4571022e-12
ML_FLUX_P6_ASYM_ERR,object,5865,1.0,,[-1.1867189e-12  1.7274856e-12]
ML_BKG_P6,float64,5865,1.0,,0.36539954
ML_EXP_P6,float64,5865,1.0,,50.435776
ML_EEF_P6,float64,5865,1.0,,0.73298055
APE_CTS_P6,int64,5865,1.0,,4
APE_BKG_P6,float64,5865,1.0,,0.9124251
APE_EXP_P6,float64,5865,1.0,,50.418056
APE_RADIUS_P6,float64,5865,1.0,,13.367275
APE_POIS_P6,float64,4731,0.80665,,0.014081422
DET_LIKE_P7,float64,5860,0.999147,,0.0
ML_CTS_P7,float64,5865,1.0,,0.0
ML_CTS_P7_ERR,float64,5865,1.0,,0.7272727
ML_CTS_P7_ASYM_ERR,object,5865,1.0,,[-0.         0.7272727]
ML_RATE_P7,float64,5865,1.0,,0.0
ML_RATE_P7_ERR,float64,5865,1.0,,0.013917047
ML_RATE_P7_ASYM_ERR,object,5865,1.0,,[-0.          0.01391705]
ML_FLUX_P7,float64,5865,1.0,,0.0
ML_FLUX_P7_ERR,float64,5865,1.0,,3.6308497e-13
ML_FLUX_P7_ASYM_ERR,object,5865,1.0,,[-0.0000000e+00  3.6308497e-13]
ML_BKG_P7,float64,5865,1.0,,0.06503409
ML_EXP_P7,float64,5865,1.0,,52.25769
ML_EEF_P7,float64,5865,1.0,,0.73298055
APE_CTS_P7,int64,5865,1.0,,0
APE_BKG_P7,float64,5865,1.0,,0.1344249
APE_EXP_P7,float64,5865,1.0,,52.266068
APE_RADIUS_P7,float64,5865,1.0,,12.153477
APE_POIS_P7,float64,1629,0.277749,,0.13070072
DET_LIKE_P8,float64,5863,0.999659,,0.0
ML_CTS_P8,float64,5865,1.0,,0.0
ML_CTS_P8_ERR,float64,5865,1.0,,0.72727275
ML_CTS_P8_ASYM_ERR,object,5865,1.0,,[-0.          0.72727275]
ML_RATE_P8,float64,5865,1.0,,0.0
ML_RATE_P8_ERR,float64,5865,1.0,,0.016608786
