column,dtype,non_null_n,non_null_fraction,description,example_value
RFC_CUPPER_RES,object,4629,0.789258,,b'-'
RFC_CBAND_UNRES,float64,2620,0.446718,,1.0
RFC_CUPPER_UNRES,object,4852,0.82728,,b'-'
RFC_XBAND_RES,float64,2620,0.446718,,0.008
RFC_XUPPER_RES,object,3437,0.586019,,b'-'
RFC_XBAND_UNRES,float64,2620,0.446718,,1.0
RFC_XUPPER_UNRES,object,3762,0.641432,,b'-'
RFC_UBAND_RES,float64,2620,0.446718,,1.0
RFC_UUPPER_RES,object,5710,0.973572,,b'-'
RFC_UBAND_UNRES,float64,2620,0.446718,,1.0
RFC_UUPPER_UNRES,object,5708,0.973231,,b'-'
RFC_KBAND_RES,float64,2620,0.446718,,1.0
RFC_KUPPER_RES,object,5809,0.990452,,b'-'
RFC_KBAND_UNRES,float64,2620,0.446718,,1.0
RFC_KUPPER_UNRES,object,5814,0.991304,,b'-'
TANAMI_SRC_NAME,object,5865,1.0,,b'nan'
TANAMI_CLASS,object,5865,1.0,,b'nan'
TANAMI_FLUX,float64,52,0.008866,,0.315
MOJAVE_SRC_NAME,object,5865,1.0,,b'nan'
MOJAVE_CLASS,object,5865,1.0,,b'nan'
MOJAVE_FLUX,float64,97,0.016539,,4806.0
N_MATCH,float64,4924,0.839557,,1.0
LS10_SEP,float64,4924,0.839557,,0.026613836937955
LS10_USE,float64,4924,0.839557,,1.0
LS10_RELEASE,float64,4924,0.839557,,10000.0
LS10_BRICKID,float64,4924,0.839557,,109377.0
LS10_OBJID,float64,4924,0.839557,,1645.0
LS10_RA,float64,4924,0.839557,,0.3864717158244953
LS10_DEC,float64,4924,0.839557,,-41.92370089412539
LS10_Xray_proba,float64,4924,0.839557,,0.9998508500786468
LS10_FULLID,object,4924,0.839557,,b'10000_109377_1645'
ERO_LS10_FULLID,object,4874,0.831032,,b'em01_002132_020_ML00001_002_c010100001093771645'
LS10_RA_IVAR,float64,4924,0.839557,,680229100000000.0
LS10_DEC_IVAR,float64,4924,0.839557,,1059477100000000.0
SEPARATION_LS10_ERO,float64,4924,0.839557,,1.120641
NCAT,float64,4924,0.839557,,2.0
DIST_BAYESFACTOR,float64,4924,0.839557,,10.645533
DIST_POST,float64,4924,0.839557,,0.8143174
BIAS_LS10_XRAY_PROBA,float64,4924,0.839557,,9999.0
P_SINGLE,float64,4924,0.839557,,0.9999772
P_ANY,float64,4924,0.839557,,0.9999772
P_I,float64,4924,0.839557,,1.0
MATCH_FLAG,float64,4924,0.839557,,1.0
TYPE,object,4924,0.839557,,b'PSF'
LS10_DCHISQ,object,4924,0.839557,,b'2943511.8;2948028.8;2948539.8;2948093.5;0.0'
EBV,float64,4924,0.839557,,0.013280153
FLUX_G,float64,4924,0.839557,,38.276875
FLUX_IVAR_G,float64,4924,0.839557,,511.6474
MW_TRANSMISSION_G,float64,4924,0.839557,,0.96145076
FLUX_R,float64,4924,0.839557,,47.594368
FLUX_IVAR_R,float64,4924,0.839557,,551.5271
MW_TRANSMISSION_R,float64,4924,0.839557,,0.9738664
FLUX_I,float64,4924,0.839557,,56.231674
FLUX_IVAR_I,float64,4924,0.839557,,126.90664
MW_TRANSMISSION_I,float64,4924,0.839557,,0.9807159
FLUX_Z,float64,4924,0.839557,,59.76877
FLUX_IVAR_Z,float64,4924,0.839557,,152.12665
MW_TRANSMISSION_Z,float64,4924,0.839557,,0.98529685
FLUX_W1,float64,4924,0.839557,,169.52194
FLUX_IVAR_W1,float64,4924,0.839557,,1.5932682
MW_TRANSMISSION_W1,float64,4924,0.839557,,0.99775195
FLUX_W2,float64,4924,0.839557,,169.57301
FLUX_IVAR_W2,float64,4924,0.839557,,0.47762516
MW_TRANSMISSION_W2,float64,4924,0.839557,,0.9986188
FLUX_W3,float64,4924,0.839557,,299.13803
FLUX_IVAR_W3,float64,4924,0.839557,,0.0014860552
MW_TRANSMISSION_W3,float64,4924,0.839557,,0.99970526
FLUX_W4,float64,4924,0.839557,,1488.7756
FLUX_IVAR_W4,float64,4924,0.839557,,4.6013206e-06
MW_TRANSMISSION_W4,float64,4924,0.839557,,0.9998887
ANYMASK_G,int64,5865,1.0,,0
ALLMASK_G,int64,5865,1.0,,0
PSFSIZE_G,float64,4924,0.839557,,1.3380659
PSFDEPTH_G,float64,4924,0.839557,,4768.1167
GALDEPTH_G,float64,4924,0.839557,,2663.3162
ANYMASK_R,int64,5865,1.0,,0
ALLMASK_R,int64,5865,1.0,,0
PSFSIZE_R,float64,4924,0.839557,,1.1688125
PSFDEPTH_R,float64,4924,0.839557,,3875.028
GALDEPTH_R,float64,4924,0.839557,,2007.2932
ANYMASK_I,int64,5865,1.0,,0
ALLMASK_I,int64,5865,1.0,,0
PSFSIZE_I,float64,4924,0.839557,,1.0210385
PSFDEPTH_I,float64,4924,0.839557,,479.64267
GALDEPTH_I,float64,4924,0.839557,,222.1295
ANYMASK_Z,int64,5865,1.0,,0
ALLMASK_Z,int64,5865,1.0,,0
PSFSIZE_Z,float64,4924,0.839557,,1.0929564
PSFDEPTH_Z,float64,4924,0.839557,,314.53836
GALDEPTH_Z,float64,4924,0.839557,,154.77518
WISEMASK_W1,int64,5865,1.0,,0
PSFDEPTH_W1,float64,4924,0.839557,,6.013031
W1_MAG_AB,float64,4915,0.838022,,16.924492
W1_MAG,float64,4915,0.838022,,14.2254925
WISEMASK_W2,int64,5865,1.0,,0
PSFDEPTH_W2,float64,4924,0.839557,,1.1011355
W2_MAG_AB,float64,4913,0.837681,,16.925106
W2_MAG,float64,4913,0.837681,,13.586106
W3_MAG_AB,float64,4703,0.801876,,16.310001
W3_MAG,float64,4703,0.801876,,11.136002
W4_MAG_AB,float64,3665,0.624893,,14.567806
W4_MAG,float64,3665,0.624893,,7.9478064
SHAPE_R,float64,4924,0.839557,,0.0
SHAPE_R_IVAR,float64,4924,0.839557,,0.0
SHAPE_E1,float64,4924,0.839557,,0.0
SHAPE_E1_IVAR,float64,4924,0.839557,,0.0
SHAPE_E2,float64,4924,0.839557,,0.0
SHAPE_E2_IVAR,float64,4924,0.839557,,0.0
SERSIC,float64,4924,0.839557,,0.0
SERSIC_IVAR,float64,4924,0.839557,,0.0
REF_CAT,object,4363,0.743905,,b'GE'
REF_ID,int64,5865,1.0,,4995979729065629696
REF_EPOCH,float64,4924,0.839557,,2016.0
GAIA_PHOT_G_MEAN_MAG,float64,4924,0.839557,,18.356388
GAIA_PHOT_G_MEAN_FLUX_OVER_ERROR,float64,4924,0.839557,,73.32323
GAIA_PHOT_BP_MEAN_MAG,float64,4924,0.839557,,18.524342
GAIA_PHOT_BP_MEAN_FLUX_OVER_ERROR,float64,4924,0.839557,,15.811802
GAIA_PHOT_RP_MEAN_MAG,float64,4924,0.839557,,17.792938
GAIA_PHOT_RP_MEAN_FLUX_OVER_ERROR,float64,4924,0.839557,,18.499231
GAIA_ASTROMETRIC_EXCESS_NOISE,float64,4924,0.839557,,0.0
GAIA_PHOT_BP_RP_EXCESS_FACTOR,float64,4924,0.839557,,1.3285613
GAIA_ASTROMETRIC_SIGMA5D_MAX,float64,4924,0.839557,,0.23964433
GAIA_DUPLICATED_SOURCE,object,4924,0.839557,,b'False'
INALLLS10,float64,4924,0.839557,,1.0
INANYLS10,float64,4924,0.839557,,1.0
DERED_MAG_W1,float64,4915,0.838022,,16.924491629451047
DERED_MAG_W2,float64,4913,0.837681,,16.925107470709353
DERED_MAG_G,float64,4920,0.838875,,18.499976447687487
DERED_MAG_R,float64,4924,0.839557,,18.27735951377452
DERED_MAG_Z,float64,4921,0.839045,,18.04273197089976
SOFTFLUX_S,float64,4924,0.839557,,6.237506858372597e-12
SALVATO18_W1_X_LINEDISTANCE,float64,4915,0.838022,,4.817384563202549
SALVATO22_ZW1_GR_LINEDISTANCE,float64,4817,0.821313,,2.1401467943183383
G_MINUS_R,float64,4833,0.824041,,0.2226169339129704
Z_MINUS_W1,float64,4908,0.836829,,1.1182403414487148
W1_MINUS_W2,float64,4863,0.829156,,-0.0006158412583054
HAS_SALVATO18_AGN_COLORS,object,4924,0.839557,,b'True'
GAIA_MOVING_5SIGMA,object,4924,0.839557,,b'False'
HAS_SALVATO22_AGN_COLORS,object,4924,0.839557,,b'True'
SALVATO_MAIN_ID_SIMBAD,object,3497,0.596249,,b'2MASS J00013275-4155252'
SALVATO_RA_SIMBAD,float64,3497,0.596249,,0.3864789167
SALVATO_DEC_SIMBAD,float64,3497,0.596249,,-41.9237046389
EXGAL_PROB_GAIA_STAREX,float64,3717,0.63376,,0.9967298359669816
EXGAL_PROB_STAREX,float64,4616,0.787042,,0.958509528968048
CLASS_GAL_EXGAL,float64,4924,0.839557,,5.0
SALVATO_HECATE,float64,4924,0.839557,,0.0
SALVATO_HEC_OBJNAME,object,76,0.012958,,b'PGC014206'
SALVATO_HEC_RA,float64,76,0.012958,,59.669709
SALVATO_HEC_DEC,float64,76,0.012958,,-54.565028
SALVATO_HEC_R1,float64,76,0.012958,,0.215
SALVATO_HEC_R2,float64,76,0.012958,,0.154
SALVATO_HEC_PA,float64,76,0.012958,,53.5
PURITY6,float64,4874,0.831032,,0.9971181556195964
COMPLETENESS6,float64,4874,0.831032,,0.515850144092219
COMPUR6,float64,4874,0.831032,,0.8544668587896254
THRESHOLD6,float64,4874,0.831032,,0.02815
PURITY7,float64,4874,0.831032,,0.9963235294117648
COMPLETENESS7,float64,4874,0.831032,,0.5735294117647058
COMPUR7,float64,4874,0.831032,,0.8786764705882353
THRESHOLD7,float64,4874,0.831032,,0.0391
PURITY8,float64,4874,0.831032,,0.9956140350877192
COMPLETENESS8,float64,4874,0.831032,,0.6447368421052632
COMPUR8,float64,4874,0.831032,,0.912280701754386
THRESHOLD8,float64,4874,0.831032,,0.0516
Z_PHOTO_S3L,float64,4924,0.839557,,0.2821410705352676
Z_PHOTO_S3U,float64,4924,0.839557,,4.550275137568784
Z_PHOTO_S1L,float64,4924,0.839557,,0.0
Z_PHOTO_S1U,float64,4924,0.839557,,1.6028014007003502
Z_PHOTO,float64,4924,0.839557,,0.3871935967983992
Z_SPEC,float64,4924,0.839557,,0.8660215139389038
Z_SPEC_REF,object,2543,0.433589,,b'Quaia_G20.5_Storey-Fisher2024'
Z_ABC,float64,577,0.09838,,1.9
Z_3HSP,float64,779,0.132822,,0.0
Z_F_3HSP,float64,779,0.132822,,0.0
Z_MILLIQUAS,float64,681,0.116113,,0.4000000059604645
Z_HIGHZ,float64,6,0.001023,,4.63
Z_HIGHZ_REF,object,5865,1.0,,b'nan'
Z_MOJAVE,float64,82,0.013981,,0.127
Z_4LAC,float64,1246,0.212447,,-inf
Z_BZCAT,float64,1182,0.201535,,0.807
Z_U_BZCAT,object,4744,0.808866,,b'nan'
Z_CGRABS,float64,490,0.083546,,0.0
Z_F_CGRABS,object,5379,0.917136,,b'nan'
Z_VERONCAT,float64,189,0.032225,,0.0540000014007091
Z_VERONCAT_QSO,float64,573,0.097698,,0.8069999814033508
Z_SIMBAD,float64,2533,0.431884,,0.37
Z_MASTER,float64,3627,0.618414,,0.8660215139389038
Z_MASTER_REF,object,5865,1.0,,b'Salvato+25'
Z_MASTER_PHOTO,float64,4795,0.817562,,0.8660215139389038
Z_MASTER_PHOTO_REF,object,5865,1.0,,b'Salvato+25'
XRAY_LUM_PHOTO_1,float64,4795,0.817562,,2.29127683725109e+46
XRAY_LUM_PHOTO_1_ERR,object,5865,1.0,,[-inf  inf]
XRAY_LUM_1,float64,3627,0.618414,,2.29127683725109e+46
XRAY_LUM_1_ERR,object,5865,1.0,,[-inf  inf]
ALPHA_XG,float64,1293,0.22046,,1.2266407439665252
ALPHA_XG_ERR,float64,1293,0.22046,,0.0092695873305287
ALPHA_IRX,float64,4379,0.746633,,0.7814636352317607
ALPHA_IRX_ERR,float64,4382,0.747144,,0.0259327968490063
ALPHA_OX,float64,4265,0.727195,,0.7943209024561296
ALPHA_OX_ERR,float64,4265,0.727195,,0.007413824664596
ALPHA_RX,float64,2428,0.413981,,0.5100876402355585
ALPHA_RX_ERR,float64,2428,0.413981,,0.0039652331760579
ALPHA_TANAMI,float64,52,0.008866,,1.0305565887994557
ALPHA_TANAMI_ERR,float64,52,0.008866,,0.0358915146591829
ALPHA_MOJAVE,float64,97,0.016539,,1.7882127735198905
ALPHA_MOJAVE_ERR,float64,97,0.016539,,0.0059466001790098
SIMBAD_SRC_NAME,object,5438,0.927195,,b'4FGL_J0001.6-4156'
SIMBAD_TYPE,object,5438,0.927195,,b'BLLac'
SIMBAD_ALT_TYPES,object,5438,0.927195,,b'AGN|BLL|Bla|BLL|MIR|Bz?|Bz?|Bz?|Rad|Rad|X|gam'
SIMBAD_TYPE2,object,5438,0.927195,,b'BLLac'
SIMBAD_ANGSEP,float64,5438,0.927195,,1.1418400898597042e-06
CAMBRIDGE_SRC_NAME,object,5438,0.927195,,b'None'
PARKS_SRC_NAME,object,5438,0.927195,,b'None'
TEXAS_SRC_NAME,object,5438,0.927195,,b'None'
EINSTEIN_SRC_NAME,object,5438,0.927195,,b'None'
COMMON_SRC_NAME,object,5438,0.927195,,b'None'
BZCAT_RMAG,float64,1182,0.201535,,18.9
BZCAT_FR,float64,1182,0.201535,,2779.0
BZCAT_F143,float64,1182,0.201535,,0.0
BZCAT_FLUX_U,float64,1182,0.201535,,0.46
BZCAT_FLUX_B,float64,1182,0.201535,,0.0
BZCAT_ALPHA_RO,float64,1182,0.201535,,0.805
XIE_MORPH_BZCAT,object,5865,1.0,,b'nan'
XIE_MORPH_KDEBLLACS,object,5865,1.0,,b'nan'
XIE_MORPH_WIBRALS,object,5865,1.0,,b'nan'
ra_deg,float64,5865,1.0,,0.3865549832508098
dec_deg,float64,5865,1.0,,-41.92400595588937
fermi__right_index,float64,1310,0.223359,,8.0
fermi_Source_Name,object,1310,0.223359,,b'4FGL J0001.6-4156'
fermi_DataRelease,float64,1310,0.223359,,1.0
fermi_RAJ2000,float64,1310,0.223359,,0.4165
fermi_DEJ2000,float64,1310,0.223359,,-41.9425
fermi_GLON,float64,1310,0.223359,,334.22635
fermi_GLAT,float64,1310,0.223359,,-72.02855
fermi_Conf_68_SemiMajor,float64,1310,0.223359,,0.04267753
fermi_Conf_68_SemiMinor,float64,1310,0.223359,,0.03237818
fermi_Conf_68_PosAng,float64,1310,0.223359,,44.09
fermi_Conf_95_SemiMajor,float64,1310,0.223359,,0.0692
fermi_Conf_95_SemiMinor,float64,1310,0.223359,,0.0525
fermi_Conf_95_PosAng,float64,1310,0.223359,,44.09
fermi_ROI_num,float64,1310,0.223359,,1349.0
fermi_Extended_Source_Name,float64,0,0.0,,
fermi_Signif_Avg,float64,1310,0.223359,,17.98248
fermi_Pivot_Energy,float64,1310,0.223359,,2729.53
fermi_Flux1000,float64,1310,0.223359,,3.126771e-10
fermi_Unc_Flux1000,float64,1310,0.223359,,3.1619193e-11
fermi_Energy_Flux100,float64,1310,0.223359,,3.2608037e-12
fermi_Unc_Energy_Flux100,float64,1310,0.223359,,4.2668202e-13
fermi_SpectrumType,object,1310,0.223359,,b'LogParabola'
fermi_PL_Flux_Density,float64,1310,0.223359,,3.9823224e-14
fermi_Unc_PL_Flux_Density,float64,1310,0.223359,,3.9063986e-15
fermi_PL_Index,float64,1310,0.223359,,1.7810848
fermi_Unc_PL_Index,float64,1310,0.223359,,0.063961886
fermi_LP_Flux_Density,float64,1310,0.223359,,4.578294e-14
fermi_Unc_LP_Flux_Density,float64,1310,0.223359,,5.2110776e-15
fermi_LP_Index,float64,1310,0.223359,,1.5809705
fermi_Unc_LP_Index,float64,1310,0.223359,,0.1248076
fermi_LP_beta,float64,1310,0.223359,,0.12090139
fermi_Unc_LP_beta,float64,1310,0.223359,,0.056650527
fermi_LP_SigCurv,float64,1310,0.223359,,2.6303291
fermi_LP_EPeak,float64,1122,0.191304,,15441.652
fermi_Unc_LP_EPeak,float64,1122,0.191304,,8987.765
fermi_PLEC_Flux_Density,float64,1310,0.223359,,4.3217176e-14
fermi_Unc_PLEC_Flux_Density,float64,1310,0.223359,,4.760078e-15
fermi_PLEC_IndexS,float64,1310,0.223359,,1.5865743
fermi_Unc_PLEC_IndexS,float64,1310,0.223359,,0.1193713
fermi_PLEC_ExpfactorS,float64,1310,0.223359,,0.098205745
fermi_Unc_PLEC_ExpfactorS,float64,1310,0.223359,,0.060493045
fermi_PLEC_Exp_Index,float64,1310,0.223359,,0.6666667
fermi_Unc_PLEC_Exp_Index,float64,2,0.000341,,0.058275893
fermi_PLEC_SigCurv,float64,1310,0.223359,,2.3296475
fermi_PLEC_EPeak,float64,784,0.133674,,20271.285
fermi_Unc_PLEC_EPeak,float64,784,0.133674,,10459.355
fermi_Npred,float64,1310,0.223359,,294.07422
fermi_Flux_Band,object,1310,0.223359,,"[1.8588997008350816e-10, 5.605672592778888e-10, 1.9096339787250116e-10, 1.7259838003269579e-10, 9.661182270859214e-11, 3"
fermi_Unc_Flux_Band,object,1310,0.223359,,"[[None, 9.144555335183213e-09], [None, 7.306832361386739e-10], [-9.261919703407173e-11, 9.888186103257368e-11], [-2.8280"
fermi_nuFnu_Band,object,1310,0.223359,,"[3.136422735026609e-14, 1.5007226960694203e-13, 1.443955496621338e-13, 4.3719623190816015e-13, 6.833588599500229e-13, 7."
fermi_Sqrt_TS_Band,object,1310,0.223359,,"[0.037754785269498825, 0.7045572996139526, 2.1280641555786133, 8.377486228942871, 12.323554992675781, 8.843351364135742,"
fermi_Variability_Index,float64,1310,0.223359,,25.609457
fermi_Frac_Variability,float64,1310,0.223359,,0.36892056
fermi_Unc_Frac_Variability,float64,1310,0.223359,,0.14705929
fermi_Signif_Peak,float64,1310,0.223359,,-inf
fermi_Flux_Peak,float64,1310,0.223359,,-inf
fermi_Unc_Flux_Peak,float64,1310,0.223359,,-inf
fermi_Time_Peak,float64,1310,0.223359,,-inf
fermi_Peak_Interval,float64,1310,0.223359,,-inf
fermi_Flux_History,object,1310,0.223359,,"[1.2599415954994697e-09, 1.5561800736918485e-09, 7.210805286206323e-10, 6.376642547323286e-10, 8.641449777968546e-10, 5."
fermi_Unc_Flux_History,object,1310,0.223359,,"[[-3.484648403162538e-10, 4.241462181475697e-10], [-3.708204021624084e-10, 4.176767820496252e-10], [-2.5627838740049924e"
fermi_Sqrt_TS_History,object,1310,0.223359,,"[5.489983558654785, 6.74837064743042, 4.148642539978027, 3.6875622272491455, 4.447479724884033, 3.358186960220337, 2.409"
fermi_ASSOC_4FGL,object,1255,0.213981,,b'4FGL J0001.6-4156'
fermi_ASSOC_FGL,object,747,0.127366,,b'3FGL J0002.2-4152'
fermi_ASSOC_FHL,object,533,0.090878,,b'3FHL J0001.9-4155'
fermi_ASSOC_GAM1,object,25,0.004263,,b'2AGL J0733-7655'
fermi_ASSOC_GAM2,object,43,0.007332,,b'3EG J0702-6212'
fermi_ASSOC_GAM3,object,25,0.004263,,b'EGR J0737+1720'
fermi_TEVCAT_FLAG,object,1310,0.223359,,b'N'
fermi_ASSOC_TEV,object,33,0.005627,,b'PKS 0903-57'
fermi_CLASS1,object,1248,0.212788,,b'bcu'
fermi_CLASS2,float64,0,0.0,,
fermi_ASSOC1,object,1248,0.212788,,b'2MASS J00013275-4155252'
fermi_ASSOC2,object,1,0.000171,,b'FHES J1741.6-3917 field'
fermi_ASSOC_PROB_BAY,float64,1290,0.219949,,0.9963356
fermi_ASSOC_PROB_LR,float64,1310,0.223359,,0.85456926
fermi_RA_Counterpart,float64,1248,0.212788,,0.386479595833
fermi_DEC_Counterpart,float64,1248,0.212788,,-41.9237053972
fermi_Unc_Counterpart,float64,1248,0.212788,,6.9e-05
fermi_Flags,float64,1310,0.223359,,0.0
fermi_ra_deg,float64,1310,0.223359,,0.4165
fermi_dec_deg,float64,1310,0.223359,,-41.9425
fermi_matched,bool,5865,1.0,,True
fermi_sep_arcsec,float64,5865,1.0,,104.23140735273527
tevcat__right_index,float64,34,0.005797,,22.0
tevcat___row,float64,34,0.005797,,23.0
tevcat_source_number,float64,34,0.005797,,310.0
tevcat_source_sample,float64,34,0.005797,,2.0
tevcat_name,object,34,0.005797,,TeV J0904-575
tevcat_alt_name,object,34,0.005797,,PKS 0903-57
tevcat_ra,float64,34,0.005797,,136.22157917
tevcat_dec,float64,34,0.005797,,-57.58493972
tevcat_lii,float64,34,0.005797,,276.11660294
tevcat_bii,float64,34,0.005797,,-7.040879
tevcat_source_type,object,34,0.005797,,IBL
tevcat_flux,float64,26,0.004433,,0.02
tevcat_spectral_index,float64,23,0.003922,,3.552
tevcat_distance,float64,0,0.0,,
tevcat_redshift,float64,31,0.005286,,0.695
tevcat_discovery_date,object,34,0.005797,,2020-04
tevcat_extended_flag,float64,34,0.005797,,0.0
tevcat_x_size,float64,0,0.0,,
tevcat_y_size,float64,0,0.0,,
tevcat_tevcat_url,object,34,0.005797,,/?mode=1&showsrc=339
tevcat___x_ra_dec,float64,34,0.005797,,0.370876712003329
tevcat___y_ra_dec,float64,34,0.005797,,-0.387038348539874
tevcat___z_ra_dec,float64,34,0.005797,,-0.844187053474007
tevcat_ra_deg,float64,34,0.005797,,136.22157917
tevcat_dec_deg,float64,34,0.005797,,-57.58493972
tevcat_matched,bool,5865,1.0,,False
tevcat_sep_arcsec,float64,5865,1.0,,25248.70741109751
xray_flux_adopted,float64,5865,1.0,,6.237407e-12
log_fx,float64,5865,1.0,,-11.204995916669224
S_X,float64,5865,1.0,Robustly standardized X-ray brightness component.,4.232409462829542
xray_feature_available,bool,5865,1.0,,True
gamma_photon_index_adopted,float64,1310,0.223359,,1.7810848
S_gamma_hard,float64,1310,0.223359,,0.9807641649394891
S_gamma_var,float64,1310,0.223359,,0.0800892217340464
S_gamma_curv_penalty,float64,1310,0.223359,,0.6658418848204092
gamma_feature_available,bool,5865,1.0,,True
wise_w1_w2,float64,4863,0.829156,,0.6393865000000005
wise_w2_w3,float64,4652,0.79318,,2.450104
S_IR,float64,4863,0.829156,,1.1876394417452274
wise_feature_available,bool,5865,1.0,,True
radio_compactness_flux_ratio,float64,0,0.0,,
radio_compactness_rfc,float64,2620,0.446718,,0.5
radio_compactness_morph,float64,2248,0.383291,,1.0
radio_compactness,float64,3530,0.601876,,0.5
S_R,float64,3530,0.601876,,0.0
radio_feature_available,bool,5865,1.0,,True
gamma_energy_flux_adopted,float64,1310,0.223359,,3.2608037e-12
cd_proxy,float64,1310,0.223359,,-0.2816794282147401
S_CD_penalty,float64,1310,0.223359,,-1.8120458605603889
redshift_adopted,float64,5290,0.901961,,0.8660215139389038
redshift_adopted_source,object,5290,0.901961,,Z_SPEC
S_EBL_proxy,float64,5290,0.901961,,0.0994164588086532
log_nu_peak_proxy,float64,2866,0.488662,Mixed-source synchrotron-peak proxy in log10(Hz).,15.865000012125757
log_nu_peak_proxy_method,object,2866,0.488662,,LAC_LE_FREQ
S_nu_peak,float64,2866,0.488662,,4.189945040860705
n_score_components_available,int64,5865,1.0,,8
has_known_tev_match,bool,5865,1.0,,False
S_TeV_evo_raw,float64,5865,1.0,,11.329573826834883
S_TeV_evo,float64,5864,0.999829,,1.8127318122935816
tev_priority_tier,object,5865,1.0,,Gold
tier_rank,int64,5865,1.0,,3
broad_class,object,5865,1.0,,BCU/uncertain
sed_class_proxy,object,5865,1.0,,HSP-like
is_known_tev,bool,5865,1.0,,False
fermi_matched_clean,bool,5865,1.0,,True
redshift_adopted_clean,float64,5290,0.901961,Adopted redshift after the fixed source hierarchy.,0.8660215139389038
redshift_adopted_source_clean,object,5290,0.901961,,Z_SPEC
redshift_secure,bool,5865,1.0,Boolean secure-redshift flag.,True
branch_stage,object,5865,1.0,Demographic branch category; not a temporal evolutionary state.,HSP-like
branch_stage_rank,int64,5865,1.0,,3
is_known_tev_clean,bool,5865,1.0,Retrospective TeVCat match flag; not used to construct the score.,False
tier_rank_clean,int64,5865,1.0,,3
is_gold,bool,5865,1.0,,True
is_gold_silver,bool,5865,1.0,,True
redshift_clean,float64,5290,0.901961,,0.8660215139389038
log_nu_peak_clean,float64,2866,0.488662,,15.865000012125757
score_clean,float64,5865,1.0,,1.8127318122935816
S_full_recomputed_v0_1_8,float64,5865,1.0,,1.8127318122935816
S_xray_only_v0_1_8,float64,5865,1.0,,4.232409462829542
S_no_xray_v0_1_8,float64,5662,0.965388,,1.3518408312391128
S_full_residual_after_xray_v0_1_8,float64,5864,0.999829,,-0.1942327336022153
S_no_xray_residual_after_xray_v0_1_8,float64,5662,0.965388,,0.1056524394147722
full_recomputed_tier,object,5865,1.0,,Gold
xray_only_tier,object,5865,1.0,,Gold
no_xray_tier,object,5865,1.0,,Silver
full_resid_xray_tier,object,5865,1.0,,Low-priority
no_xray_resid_xray_tier,object,5865,1.0,,Low-priority
S_arch_published_available_v0_4_3,float64,5864,0.999829,,1.8127318122935816
percentile_arch_published_available_v0_4_3,float64,5864,0.999829,,95.49795361527968
tier_arch_published_available_v0_4_3,object,5865,1.0,,Gold
S_arch_radio_free_available_v0_4_3,float64,5865,1.0,,2.05992251396998
percentile_arch_radio_free_available_v0_4_3,float64,5865,1.0,,96.47058823529412
tier_arch_radio_free_available_v0_4_3,object,5865,1.0,,Gold
S_arch_active_available_v0_4_3,float64,5865,1.0,,2.05992251396998
percentile_arch_active_available_v0_4_3,float64,5865,1.0,,96.47058823529412
tier_arch_active_available_v0_4_3,object,5865,1.0,,Gold
S_arch_fixed_all_weight_v0_4_3,float64,5865,1.0,,1.8127318122935807
percentile_arch_fixed_all_weight_v0_4_3,float64,5865,1.0,,98.72122762148338
tier_arch_fixed_all_weight_v0_4_3,object,5865,1.0,,Gold
S_arch_fixed_active_weight_v0_4_3,float64,5865,1.0,,2.059922513969979
percentile_arch_fixed_active_weight_v0_4_3,float64,5865,1.0,,98.72122762148338
tier_arch_fixed_active_weight_v0_4_3,object,5865,1.0,,Gold
availability_pattern_v0_4_3,int64,5865,1.0,,11111111
component_count_v0_4_3,int64,5865,1.0,,8
available_weight_active_v0_4_3,float64,5865,1.0,,5.499999999999999
row_id_v044,int64,5865,1.0,,0
source_name_v044,object,5865,1.0,Normalized preferred source identifier.,b'4FGL_J0001.6-4156'
S_TeV_branch_active_v0_4_4,float64,5865,1.0,Primary active-component TeV-favourability branch coordinate.,2.05992251396998
percentile_active_v0_4_4,float64,5865,1.0,Parent-sample percentile of the active coordinate.,96.47058823529412
tier_active_v0_4_4,object,5865,1.0,Fixed-fraction Gold/Silver/Bronze/Low priority tier.,Gold
tier_rank_active_v0_4_4,int64,5865,1.0,,3
is_gold_active_v0_4_4,bool,5865,1.0,,True
is_gold_silver_active_v0_4_4,bool,5865,1.0,,True
branch_stage_rank_active_v0_4_4,int64,5865,1.0,,3
contribution_active_xray_brightness_v0_4_4,float64,5865,1.0,,0.7695289932417351
contribution_active_gamma_hardness_v0_4_4,float64,1310,0.223359,,0.1783207572617253
contribution_active_gamma_variability_v0_4_4,float64,1310,0.223359,,0.0050965868376211
contribution_active_wise_hsp_locus_v0_4_4,float64,4863,0.829156,,0.1619508329652583
contribution_active_synchrotron_peak_proxy_v0_4_4,float64,2866,0.488662,,0.761808189247401
contribution_active_compton_dominance_penalty_v0_4_4,float64,1310,0.223359,,0.1976777302429515
contribution_active_ebl_penalty_v0_4_4,float64,5290,0.901961,,-0.0144605758267131
PC1_active_v0_4_4,float64,5865,1.0,,5.676566998745554
PC2_active_v0_4_4,float64,5865,1.0,,-0.1793412486351067
PC3_active_v0_4_4,float64,5865,1.0,,2.4990391446246107
PC4_active_v0_4_4,float64,5865,1.0,,-0.9588287826720696
PC5_active_v0_4_4,float64,5865,1.0,,-0.8300910571737872
nearest_known_TeV_distance_active_v0_4_4,float64,5831,0.994203,Nearest known-TeV distance in standardized component space.,1.7745552318933155
S_active_no_HSP_flag_v0_4_4,float64,5865,1.0,,2.25996370225497
