file,bytes,sha256,public_product,official_url,role,access_or_freeze_date,license_note
data/frozen_third_party_inputs/4fgl_dr4.fits,7819200,e3b3ea278412b7bda4c259ab558f00b76605be59eb84e44086a862a179ffc3e6,Fermi-LAT 4FGL-DR4,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/14yr_catalog/,Gamma-ray source catalogue,release-specific frozen input,Original archive terms; not relicensed by this package
data/frozen_third_party_inputs/4lac_dr3_high.fits,783360,9e382cc9401557a84e938676292fbc9ada166632cf397e05d9f2d4ce3f11fa55,Fermi-LAT 4LAC-DR3 high latitude,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/4LACDR3/,AGN context,release-specific frozen input,Original archive terms; not relicensed by this package
data/frozen_third_party_inputs/4lac_dr3_low.fits,112320,6f2b2244dd2a4134a935a7f58bbe00772d02cebf4158c05d7cdb4b2fee85a8d7,Fermi-LAT 4LAC-DR3 low latitude,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/4LACDR3/,AGN context,release-specific frozen input,Original archive terms; not relicensed by this package
data/frozen_third_party_inputs/blazer1_catalog.fits,34418880,d2b5ac1d8d00deacc687bd4a4a3f9a14240cc1f8889cc6b74f82a28a969eb75f,BlazEr1 / CDS J/A+A/709/A37,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/709/A37,Parent catalogue,release-specific frozen input,Original archive terms; not relicensed by this package
data/frozen_third_party_inputs/tevcat_frozen_2026-06-25.csv,67653,0834e1fbded2bc61f8c79570acd2f8db07400c093c6f027a8a37455ccf10e2e0,HEASARC TEVCAT frozen export,https://heasarc.gsfc.nasa.gov/w3browse/all/tevcat.html,Retrospective VHE validation,2026-06-25,Original archive terms; not relicensed by this package
